,US-JP_2Y,US-AU_2Y,US-CA_2Y,US-EU_2Y,US-GB_2Y,US-JP_10Y,US-AU_10Y,US-CA_10Y,US-EU_10Y,US-GB_10Y,US-JP_CPI_YOY,US-AU_CPI_YOY,US-CA_CPI_YOY,US-EU_CPI_YOY,US-GB_CPI_YOY,VIX
1976-06-01,7.26,7.26,7.26,7.26,7.26,,-2.05,-1.38,-2.44447,-5.509999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-02,7.23,7.23,7.23,7.23,7.23,,-2.05,-1.38,-2.44447,-5.509999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-03,7.22,7.22,7.22,7.22,7.22,,-2.0700000000000003,-1.4000000000000004,-2.4644700000000004,-5.529999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-04,7.12,7.12,7.12,7.12,7.12,,-2.1000000000000005,-1.4300000000000006,-2.4944700000000006,-5.56,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-07,7.09,7.09,7.09,7.09,7.09,,-2.1100000000000003,-1.4400000000000004,-2.5044700000000004,-5.569999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-08,7.11,7.11,7.11,7.11,7.11,,-2.09,-1.42,-2.48447,-5.549999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-09,7.08,7.08,7.08,7.08,7.08,,-2.09,-1.42,-2.48447,-5.549999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-10,7.0,7.0,7.0,7.0,7.0,,-2.13,-1.46,-2.52447,-5.589999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-11,7.03,7.03,7.03,7.03,7.03,,-2.13,-1.46,-2.52447,-5.589999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-14,7.01,7.01,7.01,7.01,7.01,,-2.1500000000000004,-1.4800000000000004,-2.5444700000000005,-5.609999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-15,7.02,7.02,7.02,7.02,7.02,,-2.1400000000000006,-1.4700000000000006,-2.5344700000000007,-5.6,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-16,7.06,7.06,7.06,7.06,7.06,,-2.12,-1.4500000000000002,-2.51447,-5.579999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-17,7.06,7.06,7.06,7.06,7.06,,-2.1400000000000006,-1.4700000000000006,-2.5344700000000007,-5.6,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-18,6.99,6.99,6.99,6.99,6.99,,-2.1800000000000006,-1.5100000000000007,-2.5744700000000007,-5.64,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-21,6.95,6.95,6.95,6.95,6.95,,-2.1900000000000004,-1.5200000000000005,-2.5844700000000005,-5.6499999999999995,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-22,7.01,7.01,7.01,7.01,7.01,,-2.1800000000000006,-1.5100000000000007,-2.5744700000000007,-5.64,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-23,7.01,7.01,7.01,7.01,7.01,,-2.1800000000000006,-1.5100000000000007,-2.5744700000000007,-5.64,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-24,6.99,6.99,6.99,6.99,6.99,,-2.1800000000000006,-1.5100000000000007,-2.5744700000000007,-5.64,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-25,7.02,7.02,7.02,7.02,7.02,,-2.16,-1.4900000000000002,-2.5544700000000002,-5.619999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-28,7.02,7.02,7.02,7.02,7.02,,-2.13,-1.46,-2.52447,-5.589999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-29,7.02,7.02,7.02,7.02,7.02,,-2.13,-1.46,-2.52447,-5.589999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
1976-06-30,7.02,7.02,7.02,7.02,7.02,,-2.13,-1.46,-2.52447,-5.589999999999999,-3.470499504495005,-6.044010201086292,-2.004783320599124,,-7.804224334369002,
