,0
1955-01-01,4.859513
1955-02-01,4.859513
1955-03-01,4.859513
1955-04-01,4.885972
1955-05-01,4.877152
1955-06-01,4.978576
1955-07-01,4.996214
1955-08-01,4.960937
1955-09-01,4.991805
1955-10-01,5.044722
1955-11-01,5.124096
1955-12-01,5.124096
1956-01-01,5.106458
1956-02-01,5.106458
1956-03-01,5.172842
1956-04-01,5.244332
1956-05-01,5.234119000000001
1956-06-01,5.229012
1956-07-01,5.2085870000000005
1956-08-01,5.2239059999999995
1956-09-01,5.213693
1956-10-01,5.244332
1956-11-01,5.2647580000000005
1956-12-01,5.2800769999999995
1957-01-01,5.331142
1957-02-01,5.326035
1957-03-01,5.315823
1957-04-01,5.336248
1957-05-01,5.341355
1957-06-01,5.397526
1957-07-01,5.443484
1957-08-01,5.4332709999999995
1957-09-01,5.417952
1957-10-01,5.469016000000001
1957-11-01,5.499655000000001
1957-12-01,5.525187
1958-01-01,5.520080999999999
1958-02-01,5.494548
1958-03-01,5.5354
1958-04-01,5.596677
1958-05-01,5.576251999999999
1958-06-01,5.627316
1958-07-01,5.540506
1958-08-01,5.530293
1958-09-01,5.5354
1958-10-01,5.586464
1958-11-01,5.606891
1958-12-01,5.627316
1959-01-01,5.637529
1959-02-01,5.632423
1959-03-01,5.632423
1959-04-01,5.591571
1959-05-01,5.571145
1959-06-01,5.581358
1959-07-01,5.566039
1959-08-01,5.581358
1959-09-01,5.550719
1959-10-01,5.576251999999999
1959-11-01,5.617104
1959-12-01,5.627316
1960-01-01,5.611997
1960-02-01,5.611997
1960-03-01,5.601783999999999
1960-04-01,5.632423
1960-05-01,5.632423
1960-06-01,5.663062
1960-07-01,5.673275
1960-08-01,5.637529
1960-09-01,5.642636
1960-10-01,5.688594
1960-11-01,5.714126
1960-12-01,5.729445
1961-01-01,5.734552
1961-02-01,5.734552
1961-03-01,5.7549779999999995
1961-04-01,5.785616
1961-05-01,5.800936
1961-06-01,5.852
1961-07-01,5.852
1961-08-01,5.908172
1961-09-01,5.897958999999999
1961-10-01,5.908172
1961-11-01,5.969449
1961-12-01,5.979662
1962-01-01,6.000088
1962-02-01,6.006088
1962-03-01,6.030088
1962-04-01,6.114089
1962-05-01,6.13209
1962-06-01,6.1740900000000005
1962-07-01,6.1500900000000005
1962-08-01,6.096089
1962-09-01,6.090089
1962-10-01,6.084089
1962-11-01,6.108089
1962-12-01,6.13809
1963-01-01,6.16209
1963-02-01,6.2160910000000005
