,0
1969-07-01,5.8
1969-08-01,5.79
1969-09-01,5.81
1969-10-01,5.83
1969-11-01,5.85
1969-12-01,5.95
1970-01-01,5.95
1970-02-01,5.96
1970-03-01,6.05
1970-04-01,6.94
1970-05-01,6.85
1970-06-01,6.86
1970-07-01,6.89
1970-08-01,6.87
1970-09-01,6.87
1970-10-01,6.88
1970-11-01,6.83
1970-12-01,6.81
1971-01-01,6.85
1971-02-01,6.85
1971-03-01,6.84
1971-04-01,6.85
1971-05-01,6.82
1971-06-01,6.83
1971-07-01,6.81
1971-08-01,6.82
1971-09-01,6.78
1971-10-01,6.58
1971-11-01,6.38
1971-12-01,6.15
1972-01-01,6.14
1972-02-01,5.84
1972-03-01,5.84
1972-04-01,5.85
1972-05-01,5.85
1972-06-01,5.85
1972-07-01,5.8
1972-08-01,5.75
1972-09-01,5.75
1972-10-01,5.77
1972-11-01,5.76
1972-12-01,5.78
1973-01-01,5.69
1973-02-01,5.76
1973-03-01,5.8
1973-04-01,6.12
1973-05-01,6.2
1973-06-01,6.72
1973-07-01,6.74
1973-08-01,6.73
1973-09-01,8.38
1973-10-01,8.35
1973-11-01,8.35
1973-12-01,8.36
1974-01-01,8.36
1974-02-01,8.36
1974-03-01,8.37
1974-04-01,8.38
1974-05-01,8.45
1974-06-01,9.52
1974-07-01,9.5
1974-08-01,9.5
1974-09-01,9.5
1974-10-01,9.5
1974-11-01,9.5
1974-12-01,9.5
1975-01-01,9.4
1975-02-01,9.5
1975-03-01,9.5
1975-04-01,9.5
1975-05-01,9.5
1975-06-01,9.5
1975-07-01,10.0
1975-08-01,10.0
1975-09-01,10.0
1975-10-01,10.0
1975-11-01,10.0
1975-12-01,10.0
1976-01-01,10.02
1976-02-01,10.0
1976-03-01,9.99
1976-04-01,10.0
1976-05-01,10.0
1976-06-01,9.99
1976-07-01,10.0
1976-08-01,9.99
1976-09-01,9.99
1976-10-01,9.98
1976-11-01,10.0
1976-12-01,10.41
1977-01-01,10.4
1977-02-01,10.4
1977-03-01,10.4
1977-04-01,10.4
1977-05-01,10.41
1977-06-01,10.41
1977-07-01,10.41
1977-08-01,10.41
1977-09-01,10.18
1977-10-01,10.01
1977-11-01,9.79
1977-12-01,9.5
1978-01-01,9.36
1978-02-01,9.2
1978-03-01,9.2
1978-04-01,9.17
1978-05-01,9.1
1978-06-01,9.1
1978-07-01,9.1
1978-08-01,9.0
1978-09-01,9.0
1978-10-01,8.89
1978-11-01,8.8
1978-12-01,8.8
1979-01-01,8.85
1979-02-01,9.0
1979-03-01,9.35
1979-04-01,9.65
1979-05-01,9.7
1979-06-01,10.0
1979-07-01,10.07
1979-08-01,10.07
1979-09-01,10.07
1979-10-01,10.07
1979-11-01,10.08
1979-12-01,10.08
1980-01-01,10.45
1980-02-01,10.55
1980-03-01,11.2
1980-04-01,11.73
1980-05-01,11.78
1980-06-01,11.76
1980-07-01,11.78
1980-08-01,11.82
1980-09-01,11.78
1980-10-01,11.9
1980-11-01,12.42
1980-12-01,12.6
1981-01-01,13.1
1981-02-01,13.1
1981-03-01,13.1
1981-04-01,13.1
1981-05-01,13.1
1981-06-01,13.1
