,0
1989-01-01,4.8
1989-02-01,4.894
1989-03-01,5.147
1989-04-01,5.221
1989-05-01,5.1739999999999995
1989-06-01,5.225
1989-07-01,5.04
1989-08-01,4.883
1989-09-01,5.096
1989-10-01,5.156000000000001
1989-11-01,5.371
1989-12-01,5.52
1990-01-01,6.449
1990-02-01,6.778
1990-03-01,6.899
1990-04-01,6.906000000000001
1990-05-01,6.507999999999999
1990-06-01,6.421
1990-07-01,6.772
1990-08-01,7.62
1990-09-01,8.032
1990-10-01,7.6
1990-11-01,7.08
1990-12-01,6.454
1991-01-01,6.432
1991-02-01,6.309
1991-03-01,6.591
1991-04-01,6.64
1991-05-01,6.6370000000000005
1991-06-01,6.735
1991-07-01,6.67
1991-08-01,6.414
1991-09-01,6.081
1991-10-01,5.885
1991-11-01,5.9270000000000005
1991-12-01,5.718999999999999
1992-01-01,5.449
1992-02-01,5.577999999999999
1992-03-01,5.531000000000001
1992-04-01,5.71
1992-05-01,5.739
1992-06-01,5.64
1992-07-01,5.4079999999999995
1992-08-01,5.112
1992-09-01,5.021
1992-10-01,5.015
1992-11-01,4.868
1992-12-01,4.848
1993-01-01,4.723
1993-02-01,4.409
1993-03-01,4.3180000000000005
1993-04-01,4.593
1993-05-01,4.9430000000000005
1993-06-01,4.836
1993-07-01,4.5169999999999995
1993-08-01,4.407
1993-09-01,4.016
1993-10-01,3.931
1993-11-01,3.762
1993-12-01,3.3960000000000004
1994-01-01,3.597
1994-02-01,4.041
1994-03-01,4.453
1994-04-01,4.093
1994-05-01,3.984
1994-06-01,4.2780000000000005
1994-07-01,4.531000000000001
1994-08-01,4.7780000000000005
1994-09-01,4.6419999999999995
1994-10-01,4.684
1994-11-01,4.718
1994-12-01,4.561
1995-01-01,4.605
1995-02-01,4.515
1995-03-01,4.113
1995-04-01,3.545
1995-05-01,3.386
1995-06-01,3.0239999999999996
1995-07-01,2.9330000000000003
1995-08-01,3.215
1995-09-01,3.03
1995-10-01,2.925
1995-11-01,3.048
1995-12-01,2.983
1996-01-01,3.12
1996-02-01,3.2710000000000004
1996-03-01,3.299
1996-04-01,3.301
1996-05-01,3.388
1996-06-01,3.252
1996-07-01,3.2939999999999996
1996-08-01,3.2089999999999996
1996-09-01,2.928
1996-10-01,2.8
1996-11-01,2.759
1996-12-01,2.597
1997-01-01,2.6319999999999997
1997-02-01,2.583
1997-03-01,2.524
1997-04-01,2.3819999999999997
1997-05-01,2.736
1997-06-01,2.6839999999999997
1997-07-01,2.505
1997-08-01,2.354
1997-09-01,2.21
1997-10-01,1.994
1997-11-01,1.9409999999999998
1997-12-01,1.939
1998-01-01,1.9480000000000002
1998-02-01,2.0
1998-03-01,1.855
1998-04-01,1.867
1998-05-01,1.655
1998-06-01,1.54
1998-07-01,1.683
1998-08-01,1.5019999999999998
1998-09-01,1.103
1998-10-01,0.879
1998-11-01,0.977
1998-12-01,1.4880000000000002
1999-01-01,1.91
1999-02-01,2.117
1999-03-01,1.8159999999999998
1999-04-01,1.5630000000000002
1999-05-01,1.334
1999-06-01,1.632
1999-07-01,1.703
1999-08-01,1.8780000000000001
1999-09-01,1.7590000000000001
1999-10-01,1.692
1999-11-01,1.817
1999-12-01,1.767
2000-01-01,1.6909999999999998
2000-02-01,1.796
2000-03-01,1.819
2000-04-01,1.74
2000-05-01,1.705
2000-06-01,1.6640000000000001
2000-07-01,1.689
2000-08-01,1.75
2000-09-01,1.876
2000-10-01,1.815
2000-11-01,1.764
2000-12-01,1.624
2001-01-01,1.508
2001-02-01,1.415
2001-03-01,1.169
2001-04-01,1.315
2001-05-01,1.25
2001-06-01,1.1520000000000001
2001-07-01,1.305
2001-08-01,1.3430000000000002
2001-09-01,1.3459999999999999
2001-10-01,1.3630000000000002
2001-11-01,1.328
2001-12-01,1.334
2002-01-01,1.42
2002-02-01,1.501
2002-03-01,1.421
2002-04-01,1.3940000000000001
