,0
1988-01-01,1.1
1989-01-01,0.6
1990-01-01,3.3
1991-01-01,2.0
1992-01-01,4.9
1993-01-01,2.5
1994-01-01,3.0
1995-01-01,3.7
1996-01-01,4.0
1997-01-01,4.8
1998-01-01,4.4
1999-01-01,5.9
2000-01-01,3.5
2001-01-01,1.9
2002-01-01,8.7
2003-01-01,6.5
2004-01-01,3.1
2005-01-01,5.1
2006-01-01,1.0
2007-01-01,4.7
2008-01-01,-0.3
2009-01-01,1.3
2010-01-01,6.3
2011-01-01,0.9
2012-01-01,-1.2
2013-01-01,1.4
2014-01-01,-0.3
2015-01-01,-1.7
2016-01-01,0.0
2017-01-01,-0.7
2018-01-01,0.1
2019-01-01,-2.3
2020-01-01,0.1
2021-01-01,1.7
2022-01-01,-2.1
2023-01-01,-1.0
